14.793	14.201	13.917
13.626	13.061	12.712
14.628	14.010	13.685
13.666	13.076	12.782
11.758	11.104	10.912
14.443	13.792	13.537
15.153	14.527	14.209
13.700	13.046	12.732
14.551	13.915	13.673
10.008 	9.822 	9.740
12.361	11.683	11.519
15.353	14.720	14.374
11.987	11.298	11.069
11.965	11.340	11.104
11.405	10.764	10.555
15.282	14.755	14.051
12.765	12.101	11.889
11.286	10.671	10.562
11.877	11.252	11.056
12.831	12.017	11.866
15.400	14.774	14.391
14.157	13.515	13.264
9.714 	9.446 	9.351
12.850	12.240	12.000
14.209	13.675	13.351
10.763	10.468	10.238
11.109	10.751	10.650
14.195	13.550	13.302
10.218	10.092	10.039
12.228	11.699	11.605
9.182 	8.992 	8.947
13.260	12.667	12.444
11.965	11.388	11.261
13.617	12.985	12.749
9.467 	9.249 	9.192
11.905	11.391	11.266
7.045 	7.086 	7.101
13.661	13.015	12.791
13.574	12.951	12.632
11.846	11.274	11.184
13.296	12.747	12.462
13.998	13.291	12.981
13.805	13.244	12.952
13.481	12.880	12.612
14.780	14.180	13.918
12.433	11.774	11.572
13.412	12.819	12.577
12.909	12.332	12.054
11.083	10.655	10.568
12.189	11.663	11.480
13.161	12.573	12.319
8.642 	8.431 	8.411
11.466	10.928	10.802
12.934	12.344	12.074
12.752	12.106	11.909
12.592	11.968	11.740
12.467	11.859	11.705
12.384	11.736	11.527
9.664 	9.541 	9.428
10.580	10.204	10.109
6.648 	6.708 	6.735
10.817	10.385	10.296
6.063 	6.177 	6.146
7.583 	7.676 	7.637
7.929 	7.869 	7.805
6.030 	6.100 	6.107
10.469	10.018 	9.951
12.409	11.772	11.542
9.648 	9.325 	9.196
9.669 	9.437 	9.439
