12.049	11.392	11.179
11.672	11.069	10.795
12.723	12.098	11.848
12.480	11.883	11.615
13.684	13.075	12.810
14.184	13.589	13.294
16.367	14.234	14.035
13.935	13.251	12.992
14.461	13.860	13.587
14.507	13.880	13.492
14.455	13.869	13.643
14.630	14.088	13.741
14.420	13.803	13.435
13.928	13.336	13.002
15.314	14.631	14.365
14.460	13.757	13.526
15.274	14.677	14.206
14.954	14.389	13.989
16.087	15.626	15.795
14.191	13.526	13.278
13.664	13.045	12.745
14.543	13.962	13.632
14.370	13.745	13.394
13.906	13.272	12.933
14.082	13.460	13.174
14.344	13.818	13.404
13.456	12.761	12.541
13.988	13.333	13.060
14.655	13.997	13.676
15.083	14.377	14.030
14.134	13.482	13.129
15.059	14.386	13.962
13.337	12.714	12.452
15.115	14.468	14.103
14.460	13.853	13.527
14.566	13.986	13.611
14.472	13.962	13.551
14.217	13.744	13.350
13.697	13.132	12.785
